version,seed,mean_target_slab_depth_km,sea_level_m,continental_area_fraction,events,juvenile_arc_area_created_km2,mean_trench_arc_distance_km,continental_volume_km3,plates,active_arc_zones,arc_thickening_volume_km3,cumulative_generated_volume_km3,max_arc_forcing
v0.20,20260806,,-495.2542674640145,0.29258703541545594,4,3560883.326051697,,3564775783.3181334,12,,73560885.23977074,141217668.43475297,
v0.21,20260806,111.06849606364297,-575.8974208458444,0.2832007063195006,5,261351.04638759673,94.58862756743142,3490835414.630272,13,41,82076924.10287872,87042593.98424305,0.891937513547614
v0.20,20260807,,-928.5439912089446,0.2890270425694124,2,2630067.873090066,,3514257900.321163,10,,50378693.57165249,100349983.16036376,
v0.21,20260807,111.33728857651495,-1105.9736576485277,0.28332320641037856,3,567271.9776925544,93.74411863292008,3473171860.8475437,11,29,70146687.58999471,80924855.16615319,0.8248069071749444
v0.20,20260808,,157.54614687878416,0.2908294584944586,8,2734210.2049536267,,3493015341.8487215,16,,101667102.00001481,153617095.8941337,
v0.21,20260808,111.50130955618512,-253.906459755321,0.2881085524810892,8,1779229.1720998692,99.84536923307034,3486542690.0991178,12,28,110811495.16440672,144616849.43430424,0.6054445834489696
v0.20,20260809,,-644.0549900976798,0.2898514316111422,3,4635198.818239803,,3492973093.95572,11,,63684891.522802845,151753669.06935906,
v0.21,20260809,111.21529910171061,-926.0155517590172,0.2803016893221726,5,1162713.8891169527,92.00188410518813,3426942231.336838,13,38,81554795.06674507,103646358.95996718,0.6411570296215479
