subdivision,cells,initial_material_area_pct,final_material_area_pct,final_visible_area_pct,initial_continental_volume_billion_km3,final_continental_volume_billion_km3,generated_volume_billion_km3,recycled_volume_billion_km3,thinning_volume_billion_km3,max_raw_collision_thickness_km,max_post_redistribution_thickness_km,transport_volume_error_km3,final_plate_count,largest_plate_pct,final_mean_continental_plate_speed_deg_per_myr
3,1280,28.24566672200809,29.325343055596075,29.13059855973263,3.4725488160685183,3.563905882218662,0.1529959672098447,0.0,0.08369734017052248,106.78239078127758,42.08422898813231,9.5367431640625e-07,4,46.514672669636234,0.21562848257520184
4,5120,27.97841636788329,28.623554217842408,29.221219484047168,3.4396928063328045,3.4711187758105804,0.0998913706446721,0.0,0.08332574140044258,102.048914627858,42.49843577193994,9.5367431640625e-07,8,31.590660171569606,0.20879365680409212
5,20480,27.920043780726534,28.236330542461495,28.93731619110306,3.4325164256009573,3.439170142994895,0.05234634706314911,0.0,0.05209965232496083,114.24337631739272,46.88841167801902,9.5367431640625e-07,10,56.37230901909038,0.3032245778033796
