version,seed,plates,events,largest_plate_fraction,mean_speed_deg_myr,continental_fraction,continental_volume_km3,rollback_mean,backarc_area_km2,max_backarc
v18,20260806,11,5,0.26796875,0.30518025421131584,0.28983153983069465,3558775154.265823,0,0,0
v18,20260807,11,1,0.2,0.21995247019860142,0.2866447396014736,3489810573.407873,0,0,0
v18,20260808,13,9,0.15,0.2218201215100944,0.2917626092788854,3521264732.0833216,0,0,0
v18,20260809,13,7,0.21015625,0.27395003572712057,0.28544258518427545,3480242800.206957,0,0,0
v19,20260806,11,5,0.23125,0.2891404507335018,0.28872051402124654,3559694961.486105,1.7170424377468123,12911223.787182283,0.14359957564857567
v19,20260807,8,4,0.2625,0.23103524807611753,0.2905684434034429,3517312915.1507883,1.6580356470805566,11020681.212949885,0.13714669189057263
v19,20260808,14,8,0.14609375,0.24920540401665506,0.2933328207840692,3503684556.018059,1.4876835082717017,16658808.598216781,0.13729461261596304
v19,20260809,12,4,0.2203125,0.23057172316006802,0.28630948219585645,3478009918.178467,1.6700157334300176,13668106.044698933,0.12043699985891902
