seed,control_mean_craton_strength,plume_mean_craton_strength,control_cratonic_continent_fraction,plume_cratonic_continent_fraction,control_mean_continental_root_km,plume_mean_continental_root_km,control_max_rift_extension,plume_max_rift_extension,control_final_plate_count,plume_final_plate_count,mean_surface_plume_exposure_myr,max_surface_plume_exposure_myr,max_local_cumulative_root_erosion_km,summed_global_mean_continental_age_loss_myr,summed_global_mean_root_erosion_km,plume_global_ledger_error_km3,plume_numerical_clip_cells,delta_mean_craton_strength,delta_cratonic_continent_fraction,delta_mean_continental_root_km,delta_max_rift_extension,delta_final_plate_count
20260806,0.6443977046023948,0.6223876429316246,0.5798388062251932,0.6935094940671976,138.88297592702756,140.9229417277377,0.17558971654596955,0.10473080730474488,16,15,6.254720610473922,149.71905617056072,46.97219691314872,24.21784183621796,3.034846524710792,-4.76837158203125e-07,0,-0.02201006167077013,0.1136706878420044,2.0399658007101493,-0.07085890924122468,-1.0
20260807,0.6084509770288191,0.6489644542683962,0.6434687490784193,0.763719544768928,135.74131314647687,155.75116400552264,0.14845835328501822,0.1392164105451576,11,7,3.8089227034582698,134.3181108024178,21.34795309317687,2.1036101508194704,0.268016920162351,4.76837158203125e-07,0,0.0405134772395771,0.12025079569050867,20.00985085904577,-0.00924194273986062,-4.0
20260808,0.5951979306470923,0.6209453070992066,0.4730719848315668,0.555924508881501,127.3790944357456,139.62716678237535,0.09364317189085065,0.20580853322851222,17,11,4.580027401156614,116.3790642333337,36.72494598943091,9.59200130888456,1.3232149066535537,4.76837158203125e-07,0,0.025747376452114334,0.0828525240499342,12.248072346629755,0.11216536133766157,-6.0
20260809,0.6408310692199728,0.6335583090363635,0.6814974162092229,0.6225701198040015,149.21997830357313,151.54478437737004,0.08709136118847442,0.2403985914887241,15,13,5.113221800793775,253.33497116190017,28.629181671975587,5.01552802042555,0.7628323413328387,9.5367431640625e-07,0,-0.007272760183609339,-0.05892729640522143,2.324806073796907,0.15330723030024968,-2.0
ensemble_mean,0.6222194203745697,0.6314639283338976,0.5944692390861006,0.6589309168804071,137.8058404532058,146.96151422325144,0.1261956507275782,0.1725385856417847,14.75,11.5,4.939223128970645,163.4378005920531,33.418569416933025,10.232245329086885,1.347227673214884,3.5762786865234375e-07,0.0,0.009244507959327991,0.06446167779430646,9.155673770045645,0.04634293491420649,-3.25
