seed,v122_plate_count,v123_plate_count,v122_topology_events,v123_topology_events,v122_largest_plate_fraction,v123_largest_plate_fraction,v122_sea_level_m,v123_sea_level_m,v122_continental_bedrock_volume_km3,v123_continental_bedrock_volume_km3,v123_surface_sediment_volume_km3,v123_deep_recycled_sediment_volume_km3,v123_rift_recycled_volume_km3,v123_max_sediment_thickness_km,v123_area_fraction_over_1km_sediment,v123_global_ledger_error_km3
20260806,10,11,2,3,0.18151431142593427,0.19007791300254098,-657.2004413786339,-635.8483655765538,3494491269.450865,3282695194.6074,122934953.79827693,97595361.6515517,43330829.197516434,10.217785888374467,0.09830459843108295,0.0
20260807,12,11,0,1,0.18327645025124342,0.19640850532291973,-931.2848403938269,-994.4230958262121,3477435434.471821,3220687813.3733234,132553214.55853379,113378024.52155907,58918050.30352758,10.184784610686195,0.11219673188340933,4.76837158203125e-07
20260808,12,11,4,3,0.19042929203642733,0.17156202185431316,-139.55321201069398,-51.64955066494413,3507021039.2869596,3270713433.93022,120126305.36219689,128573786.4207465,83355604.97876383,9.362322656835396,0.09284962147458442,4.76837158203125e-07
20260809,13,14,1,2,0.141377348775341,0.1340399544157991,-873.7554120296212,-873.8826889610701,3428920817.150607,3171284452.2704544,139039377.7478743,115071161.14389627,65252252.326250374,10.247820300653894,0.10986627910473945,9.5367431640625e-07
