version,seed,plates,events,continental_volume_km3,generated_volume_km3
v0.20,20260806,18,6,3472516182.5099125,69794888.03131944
v0.21,20260806,17,5,3463260629.8222265,62674451.34530559
v0.20,20260807,12,2,3453346515.7322903,48470576.23034191
v0.21,20260807,12,2,3467233796.3646064,65708604.32201678
v0.20,20260808,11,3,3400198267.015541,47677700.092688054
v0.21,20260808,13,3,3397120292.6496344,48661102.518952854
