version,seed,plates,events,largest,speed,cont,vol,sea,breakoffs,active_slabs,residual
v019,20260806,11,5,0.22987947762597577,0.25337504526235083,0.2907311372988435,3559726188.6910467,-329.3929304167473,0,38,11
v020,20260806,12,4,0.1312470874617689,0.22317797101627213,0.29258703541545594,3564775783.3181334,-495.2542674640145,11,36,6
v019,20260807,8,4,0.2624513779148603,0.20470896723394252,0.29059937352776416,3517312915.1507883,-970.8801940924083,0,28,8
v020,20260807,10,2,0.1544791707125877,0.2289888932557395,0.2890270425694124,3514257900.321163,-928.5439912089446,10,32,11
v019,20260808,14,8,0.12596470732531478,0.22960057674237255,0.2916560599707023,3503684556.018059,70.06226194184018,0,37,25
v020,20260808,16,8,0.15825665806928485,0.2171096770366797,0.2908294584944586,3493015341.8487215,157.54614687878416,9,46,20
v019,20260809,12,4,0.22016894572200738,0.21949301338736218,0.28849509050784355,3478009918.178467,-735.2833380631448,0,39,18
v020,20260809,11,3,0.2316645999594146,0.2250843731497194,0.2898514316111422,3492973093.95572,-644.0549900976798,9,39,16
