seed,control_max_elevation_m,dynamic_max_elevation_m,delta_max_elevation_m,control_min_elevation_m,dynamic_min_elevation_m,delta_min_elevation_m,control_final_sea_level_m,dynamic_final_sea_level_m,delta_final_sea_level_m,control_final_land_area_fraction,dynamic_final_land_area_fraction,delta_final_land_area_fraction,control_final_shallow_sea_area_fraction,dynamic_final_shallow_sea_area_fraction,delta_final_shallow_sea_area_fraction,control_final_exposed_continental_material_area_fraction,dynamic_final_exposed_continental_material_area_fraction,delta_final_exposed_continental_material_area_fraction,control_final_submerged_continental_material_area_fraction,dynamic_final_submerged_continental_material_area_fraction,delta_final_submerged_continental_material_area_fraction,control_final_mean_ocean_depth_m,dynamic_final_mean_ocean_depth_m,delta_final_mean_ocean_depth_m,control_surface_sediment_volume_km3,dynamic_surface_sediment_volume_km3,delta_surface_sediment_volume_km3,control_cumulative_eroded_bedrock_volume_km3,dynamic_cumulative_eroded_bedrock_volume_km3,delta_cumulative_eroded_bedrock_volume_km3,control_cumulative_reworked_sediment_volume_km3,dynamic_cumulative_reworked_sediment_volume_km3,delta_cumulative_reworked_sediment_volume_km3,control_final_plate_count,dynamic_final_plate_count,delta_final_plate_count,control_topology_event_count,dynamic_topology_event_count,delta_topology_event_count,control_final_max_rift_extension,dynamic_final_max_rift_extension,delta_final_max_rift_extension,control_cumulative_breakup_area_km2,dynamic_cumulative_breakup_area_km2,delta_cumulative_breakup_area_km2,control_final_continental_volume_km3,dynamic_final_continental_volume_km3,delta_final_continental_volume_km3,maximum_dynamic_uplift_over_run_m,final_rms_dynamic_topography_m,final_dynamic_uplift_area_fraction,maximum_abs_dynamic_displacement_volume_km3,dynamic_numerical_clip_cells,dynamic_global_continental_ledger_error_km3
20260806,1675.3434295563488,2507.3107953169747,831.9673657606259,-9472.431955108264,-9359.229349882602,113.20260522566241,-483.13954477365337,-501.5043994664064,-18.364854692753056,0.20897882413016047,0.22515067002557532,0.016171845895414844,0.02309223097928688,0.011690516585924285,-0.011401714393362595,0.20897882413016072,0.2251506700255754,0.016171845895414677,0.07685429315280604,0.055086177701351095,-0.02176811545145494,3920.0523685746302,4001.8819620061454,81.82959343151515,121529981.07107776,116213180.28071389,-5316800.790363878,375240319.67890334,367749472.34271073,-7490847.336192608,287634547.855898,293272448.3811432,5637900.52524519,16.0,15.0,-1.0,12.0,9.0,-3.0,1.1809472526754536,1.1741533929311092,-0.006793859744344433,781354.9484155782,1607516.7369754098,826161.7885598316,3049902039.0903077,3033073828.879033,-16828210.211274624,994.6577833568961,90.87650653450834,0.03242598975247802,1.9073486328125e-09,0,0.0
20260807,1968.581549441883,1965.3037804494022,-3.2777689924807873,-9649.106479342401,-9654.497802874563,-5.39132353216155,-1243.371594043155,-1243.4423873953444,-0.07079335218941196,0.2757518646887824,0.2772322614207164,0.0014803967319340083,0.003720849373273899,0.0029768102738540023,-0.0007440390994198965,0.27575186468878254,0.2772322614207165,0.0014803967319339528,0.010553781840709563,0.009073385108775556,-0.0014803967319340066,4043.792881840072,4052.075256792422,8.282374952349983,165686012.66113025,166083784.7613349,397772.1002046466,437851304.32264644,436465252.40337276,-1386051.9192736745,363203508.1304366,361133908.505527,-2069599.6249095798,10.0,10.0,0.0,10.0,10.0,0.0,0.6449168772329276,0.6449140828117855,-2.794421142038317e-06,0.0,0.0,0.0,3080492290.8829403,3081878553.8937387,1386263.0107984543,995.2183509533564,57.383771865109075,0.009924839591819877,1.430511474609375e-09,0,0.0
20260808,1231.4280290097342,1346.0365044821056,114.60847547237131,-9468.479568855731,-9479.87430109931,-11.394732243577891,-172.5670864108241,-167.49753942765668,5.069546983167413,0.08052313688327732,0.07837371540946311,-0.0021494214738142087,0.05429659706980664,0.054754359814386346,0.0004577627445797039,0.08052313688327738,0.07837371540946331,-0.00214942147381407,0.21327471272193937,0.21542413419575346,0.0021494214738140838,3742.564733354947,3733.830333986763,-8.734399368183858,127855859.57259753,128109345.24329293,253485.67069539428,491698727.6115678,490083603.67450607,-1615123.937061727,423121953.5734761,424552785.5438196,1430831.9703435302,12.0,12.0,0.0,22.0,22.0,0.0,0.5306529695356585,0.5306529695356585,0.0,0.0,0.0,0.0,3052505266.199318,3054038238.741418,1532972.5420999527,993.8494028789072,65.41113948129278,0.02430444423746447,1.430511474609375e-09,0,1.430511474609375e-06
20260809,2064.0583150436682,2060.4502472344984,-3.6080678091698246,-9615.57016541797,-9621.53630982877,-5.966144410800553,-1075.2982409597137,-1075.9256893022643,-0.6274483425506787,0.24590825419740503,0.2473809694624332,0.0014727152650281794,0.008547446805879677,0.008547951353046918,5.045471672404656e-07,0.244337784737037,0.24507363782238387,0.000735853085346877,0.03524016901871735,0.03442033271335628,-0.0008198363053610672,3905.3655173826214,3913.011327956256,7.645810573634662,158460015.58952016,157743181.4430525,-716834.1464676559,481453712.33920825,477930210.786847,-3523501.55236125,333373805.86860424,329634548.514873,-3739257.353731215,12.0,12.0,0.0,6.0,6.0,0.0,0.9997787442331971,0.7864874304632439,-0.21329131376995325,258111.26690664928,287611.1983575965,29499.931450947246,2953546227.7147074,2956860062.141202,3313834.4264945984,994.4898260705635,64.88852688646807,0.013871940914763993,1.1920928955078125e-09,0,1.430511474609375e-06
ensemble_mean,1734.8528307629085,1969.7753318707453,234.92250110783664,-9551.397042181092,-9528.78444092131,22.612601259780604,-743.5941165468365,-747.0925038979179,-3.4983873510814334,0.2027905199749063,0.20703440407954704,0.004243884104640706,0.022414281057061777,0.01949240950680289,-0.0029218715502588866,0.20239790260981438,0.20645757116953478,0.004059668559720359,0.08398073918354308,0.07850100742980909,-0.005479731753733983,3902.9438752880674,3925.1997201853965,22.255844897328984,143382967.22358143,142037372.93209857,-1345594.2914828733,446561015.98808146,443057134.80185914,-3503881.186222315,351833453.8571037,352148422.7363407,314968.8792369813,12.5,12.25,-0.25,12.5,11.75,-0.75,0.8390739609193092,0.7840519689354493,-0.05502199198385993,259866.55383055686,473781.9838332516,213915.43000269472,3034111455.971818,3031462670.913848,-2648785.0579704046,994.5538408149308,69.63998619184457,0.02013180362413159,1.4901161193847657e-09,0.0,7.152557373046875e-07
ensemble_std,324.03057906161837,414.1969441892484,348.0568330591334,81.81704623034935,117.84299855524776,52.3545892410676,434.083403929649,433.22578136250866,8.86583387771468,0.07444814454258109,0.07654631998727006,0.007043913470124745,0.01974003020957525,0.020596242709205716,0.0049145930362879805,0.07422352139733614,0.07624821872525367,0.007123166980443827,0.07831806795209378,0.08071477175707267,0.009502956496006274,107.072961931177,121.19031198815931,35.06471773483054,18995968.644721586,20529133.105418485,2332498.8466138574,45873233.12286256,47807732.48623404,2446880.0946295494,49177196.09127973,48208882.99058386,3595193.633353591,2.179449471770337,1.7853571071357126,0.4330127018922193,5.894913061275798,6.098155458825234,1.299038105676658,0.26245183180339016,0.24277327732272747,0.09141890212130568,318988.4317332635,665009.9225306484,353685.701597845,48035436.453415126,46420799.71589381,8221581.939287894,0.48803393050746496,12.66554475653576,0.008830712572373431,2.598106231415673e-10,0.0,7.152557373046875e-07
