time_myr,sea_level_v121_m,sea_level_v122_m,sea_level_delta_m,land_v121,land_v122,cum_erosion_v121_km3,cum_erosion_v122_km3,mean_Te_km,mean_flexural_parameter_km,max_abs_flexural_correction_m,rms_flexural_correction_m,cg_iterations
100,-280.9160179372418,-280.65623190158226,0.2597860356595447,0.24004041509404436,0.24004041509404436,45253961.97979788,44880004.711678915,23.290379044437383,63.072803629831256,239.7270396713077,21.901341540067264,5
200,-367.6474340781457,-367.34691410037874,0.30051997776695316,0.26763999352262907,0.2676415352042848,112576536.11965264,111536391.02140142,23.166690985181184,62.572511150550326,227.04766267127297,19.16734305787502,5
300,-558.8765871853254,-558.4478933091099,0.42869387621556143,0.26770332422304294,0.26732861071115094,207121417.81270465,205485443.35348868,23.64743177280493,63.757360070165234,267.3460868628992,20.028534161765535,5
400,-788.1554477576594,-787.6815018160992,0.4739459415602596,0.259970504247645,0.2597863891259943,324680634.642537,322432444.65618896,25.40472779606293,67.48009251683848,244.20131315296607,20.4497616314525,6
500,-808.6013913613265,-807.9019651050357,0.6994262562907352,0.2735002287966348,0.2735002287966348,442006494.8250111,439070079.74254644,25.645005888413664,67.87253370057408,284.03378982308703,21.530286313383932,5
