version,seed,time_myr,plates,topology_events,largest_plate_fraction,continental_material_fraction,mean_continental_plate_speed_deg_per_myr,sea_level_m,mean_ridge_push_factor,min_ridge_push_factor,max_ridge_push_factor
v0.16,20260806,300.0,11,5,0.23801621507188636,0.2948975915450771,0.24152705238248448,-361.4901713070793,1.0,1.0,1.0
v0.16,20260807,300.0,10,4,0.22198058519992023,0.2889730694438078,0.20545207038705687,-807.5275505014536,1.0,1.0,1.0
v0.16,20260808,300.0,11,7,0.25496776034060675,0.2900860352452372,0.22103134003625263,-239.586151860234,1.0,1.0,1.0
v0.16,20260809,300.0,13,5,0.2577553246799012,0.2882030849162726,0.20668104767886938,-856.4492155576719,1.0,1.0,1.0
v0.17,20260806,300.0,12,6,0.22819156946124533,0.292352826100354,0.24826194469603047,-355.59600976287186,1.0106584310712523,0.9448759100643638,1.020878195097654
v0.17,20260807,300.0,10,4,0.17295207161042378,0.28797388435403976,0.22732420519464963,-1034.6707365577936,1.016379270522763,1.0,1.0208786255387823
v0.17,20260808,300.0,12,8,0.2654808941571824,0.2922312376759526,0.18981662258399792,-125.00080108266431,1.008830224778255,0.8422992071752686,1.0208785167195418
v0.17,20260809,300.0,13,5,0.1822085850677049,0.2915710502113444,0.20293817252850072,-769.3921815789429,1.0089330179504754,0.9302488749481381,1.020878572064265
