seed,mode,weakening_enabled,mechanical_forcing_enabled,final_plate_count,topology_event_count,final_max_rift_extension,final_mean_rift_extension,final_rifted_cell_fraction_ge_0p5,cumulative_breakup_area_km2,cumulative_continental_thinning_volume_km3,final_continental_area_fraction,final_mean_continental_root_km,final_mean_craton_strength,final_cratonic_continent_fraction,maximum_plume_extension_forcing_over_run,cumulative_mean_plume_extension_impulse_myr,cumulative_max_plume_extension_impulse_myr,maximum_local_cumulative_root_erosion_km,numerical_clip_cells,global_continental_ledger_error_km3
20260806,control,False,False,16,12,0.17558971654596955,0.002706824133198278,0.0,0.0,64353000.077085726,0.28334789565416063,138.88297592702756,0.6443977046023948,0.5798388062251932,0.0,0.0,0.0,0.0,0,9.5367431640625e-07
20260806,weakening_only,True,False,15,11,0.10473080730474488,0.003072493968099319,0.0,0.0,65219822.81665328,0.28698219938809344,140.9229417277377,0.6223876429316246,0.6935094940671976,0.0,0.0,0.0,46.97219691314872,0,-4.76837158203125e-07
20260806,forcing_only,False,True,13,9,0.8999863907382708,0.021898144334456228,0.00078125,0.0,154762813.9203505,0.28574721781165097,142.55534866267888,0.58771395069871,0.4164166279418672,1.0,9.953953635800609,188.57689493464565,0.0,0,4.76837158203125e-07
20260806,combined,True,True,16,12,1.1809472526754536,0.02745428577799493,0.01015625,781354.9484155782,195567046.29746568,0.2858331172829668,141.83180339205495,0.5894367421048105,0.36365187839148905,1.0,9.841372065484435,188.19361925742052,46.972196913148835,0,0.0
20260807,control,False,False,11,13,0.14845835328501822,0.0035498197068625317,0.0,0.0,97908387.24249567,0.28469581305507446,135.74131314647687,0.6084509770288191,0.6434687490784193,0.0,0.0,0.0,0.0,0,4.76837158203125e-07
20260807,weakening_only,True,False,7,9,0.1392164105451576,0.000693092804732664,0.0,0.0,54034497.300595075,0.2866698407748673,155.75116400552264,0.6489644542683962,0.763719544768928,0.0,0.0,0.0,21.34795309317687,0,4.76837158203125e-07
20260807,forcing_only,False,True,14,14,0.6002614955381244,0.01730335410338741,0.00078125,0.0,85392208.86782049,0.2862898207395165,136.75833978134625,0.586736765990296,0.3872011148073651,1.0,5.939963137913924,166.12906140382552,0.0,0,4.76837158203125e-07
20260807,combined,True,True,10,10,0.6449168772329276,0.014656645320795077,0.0015625,0.0,89375872.91002996,0.28630564652949203,146.50417199665438,0.5956189935716028,0.47501480810473073,1.0,5.9361734223822,168.64964627943385,21.532872757219593,0,0.0
20260808,control,False,False,17,21,0.09364317189085065,0.004070451070225877,0.0,0.0,146939640.43437493,0.286944786402303,127.3790944357456,0.5951979306470923,0.4730719848315668,0.0,0.0,0.0,0.0,0,9.5367431640625e-07
20260808,weakening_only,True,False,11,17,0.20580853322851222,0.00367794872768461,0.0,0.0,141986320.91362324,0.29216986946775825,139.62716678237535,0.6209453070992066,0.555924508881501,0.0,0.0,0.0,36.72494598943091,0,4.76837158203125e-07
20260808,forcing_only,False,True,16,16,1.0852887026443636,0.037080781961583265,0.0046875,440441.04862572823,191681370.08874556,0.2890640608228096,127.489615841141,0.4943414886467405,0.13053886289086591,1.0,7.322373923809496,172.44752547336878,0.0,0,9.5367431640625e-07
20260808,combined,True,True,12,22,0.5306529695356585,0.029467985919652988,0.00078125,0.0,186446265.04940543,0.29379784960521677,136.29531981277495,0.5085148685800185,0.1918337653369353,1.0,7.282309853559066,170.64159772255118,36.24470737304234,0,9.5367431640625e-07
