time_myr,dt_myr,mean_continental_lithosphere_age_myr,max_continental_lithosphere_age_myr,mean_mantle_depletion_fraction,max_mantle_depletion_fraction,mean_craton_strength,max_craton_strength,cratonic_area_fraction_of_surface,cratonic_fraction_of_continental_material,juvenile_continental_fraction_of_surface,new_continental_material_volume_km3,mean_extension_factor_continental
0.0,0.0,499.99999999999994,500.0,0.30689753706904843,0.30689753706904843,0.46645591589119734,0.46645591589119734,0.0,0.0,0.0,0.0,0.6828099771939856
4.0,4.0,503.2309149184752,504.0,0.30825950678605757,0.3087294740288533,0.46807704111470066,0.4691225646293382,0.0,0.0,0.00043035565266449607,0.0,0.6817076120420034
8.0,4.0,505.5152527357422,508.0,0.3090398877526978,0.3105532871130442,0.4686187759664946,0.4717757478972495,0.0,0.0,0.0013735725180165164,141773.4993545059,0.6813392323427839
12.0,4.0,508.64691372835574,512.0,0.31033472514545657,0.3123690123476178,0.47011781953179,0.47441553413992754,0.0,0.0,0.0018352231989989894,224865.52429115167,0.6803198827183827
16.0,4.0,511.24696485050373,516.0,0.31130236760278246,0.3141766855988107,0.4708803254139729,0.4770419914537123,0.0,0.0,0.0025729480256463685,359795.5300644394,0.6798013787184984
20.0,4.0,514.7321126390822,520.0,0.3128029713154772,0.3159763425738075,0.47263160167755436,0.4796551875880596,0.0,0.0,0.0028240415210971227,368873.88211974176,0.6786105108592629
24.0,4.0,517.9222841982323,524.0,0.3141210110559899,0.3177680188214466,0.4741645810440894,0.48225518994730493,0.0,0.0,0.0032200532030431978,415090.7468207278,0.6775680848900192
28.0,4.0,521.1861395771425,528.0,0.3154762447195314,0.319551749732922,0.4752644198709527,0.48484206559241827,0.0,0.0,0.0035678288554886863,402443.3538205256,0.676820194487752
32.0,4.0,525.1539812053637,532.0,0.31724448201172784,0.32132757054248245,0.47719411929542016,0.4874158812427494,0.0,0.0,0.003495872402528985,545424.3799696218,0.6755079988791143
36.0,4.0,528.8759598228309,536.0,0.31886279941288503,0.32309551632812766,0.4788929616147494,0.4899767032777657,0.0,0.0,0.0035612601105868965,611856.5201577782,0.6743527861019704
40.0,4.0,532.2220416299016,540.0,0.3202478215181807,0.324855622012301,0.48020298493227354,0.4925245977387794,0.0,0.0,0.0038086017696082504,795115.8118666913,0.673461970246054
44.0,4.0,535.8068107866749,544.0,0.32177147245881915,0.3266079223625794,0.4815661256819344,0.4950596303306678,0.0,0.0,0.003935177212360301,642330.512071111,0.6725350345362845
48.0,4.0,537.4934738418386,548.0,0.3221509470837553,0.32835245199236013,0.4821127677043702,0.4975818664235834,0.0,0.0,0.005040857955552395,7188426.939205309,0.6721633179610284
52.0,4.0,540.9949951977169,552.0,0.3236142512964734,0.3300892453615444,0.483738448906616,0.5000913710546563,0.0,0.0,0.005191772484780992,2646786.576312645,0.6710578547435011
56.0,4.0,544.3269443346368,556.0,0.32497085354030886,0.33181833677721817,0.48550673901423913,0.5025882089296876,0.0,0.0,0.0054207837425915935,1127253.5541495853,0.6698554174703173
60.0,4.0,547.3986183900971,560.0,0.3261690273797234,0.33353976039432987,0.486797093209186,0.5050724444248338,0.0,0.0,0.005778266465649771,2785110.003929249,0.6689779766177537
64.0,4.0,550.2403489701207,564.0,0.32721988491041204,0.33525355021636494,0.48890442877572055,0.5075441415882842,0.0,0.0,0.006186374184429492,3372195.645273937,0.66754498843251
68.0,4.0,553.1386866691547,568.0,0.32830613866197284,0.33695974009601753,0.4904200018785512,0.5100033641419275,0.0,0.0,0.0065916206751594235,3132125.687017195,0.6665143987225852
72.0,4.0,556.5240462565872,572.0,0.32967762447919763,0.33865836373585934,0.49201501645634466,0.5124501754830117,0.0,0.0,0.006741987209911836,2977655.172310709,0.6654297888096856
76.0,4.0,560.3129491649163,576.0,0.33128200206211805,0.34034945468900507,0.49443148363052203,0.5148846386857956,0.0,0.0,0.0066691237247003396,1035859.2280295644,0.663786591131245
80.0,4.0,563.7857503641777,580.0,0.3326919999321284,0.3420330463597755,0.49639654933236615,0.5173068165031905,0.0,0.0,0.006755627335118653,1143676.5424514366,0.6624503464539909
84.0,4.0,567.1619712737009,584.0,0.3340267619990045,0.34370917200435713,0.49842832884138244,0.5197167713683952,0.0,0.0,0.00684018446438161,4546311.741501745,0.6610687363878598
88.0,4.0,570.7408232579652,588.0,0.33548214534014015,0.34537786473145915,0.5008868381919319,0.5221145653965217,0.0,0.0,0.006833727466351362,1150180.7847245722,0.6593969500294862
92.0,4.0,574.1458282462147,592.0,0.3368297614499721,0.3470391575029675,0.502700083150591,0.5245002603862128,0.0,0.0,0.006916297951341243,1007029.1614606045,0.658163943457598
96.0,4.0,577.267816189714,596.0,0.33800840875801164,0.3486930831345958,0.5049520199577535,0.5268739178212525,0.0,0.0,0.007172253546795241,4648343.901601623,0.6566326264287274
100.0,4.0,581.1355052276042,600.0,0.33961051150274074,0.35033967429653384,0.5069557042054963,0.5292355988721663,0.0,0.0,0.007067941578397433,981953.5949045664,0.6552701211402624
104.0,4.0,585.8205891795324,604.0,0.3416789064902031,0.35197896351409264,0.509986736989419,0.5315853643978157,0.0,0.0,0.00655296096377936,939014.8275571471,0.6532090188471952
108.0,4.0,589.0313362586118,608.0,0.34288433076132635,0.3536109831683471,0.5116170760834858,0.5339232749469824,0.0,0.0,0.006739697233224574,4276078.148290122,0.6521003882632298
112.0,4.0,592.6882433597386,612.0,0.3443470987853839,0.35523576549677555,0.5135044178639023,0.5362493907599466,0.0,0.0,0.00671424254287456,878217.217925092,0.6508169958525463
